date,hour_of_day,osmid,subarea,help_convined,help_independent,rank,building_type_name
2024-03-25,0,N11907017769,Errekalde,9,29,9,tourism_hostel
2024-03-25,0,N10315485009,Deusto,9,24,11,amenity_theatre
2024-03-25,0,N603714638,Ibaiondo,9,19,16,amenity_place_of_worship
2024-03-25,0,N4060532218,Otxarkoaga-Txurdinaga,8,49,9,railway_subway_entrance
2024-03-25,0,W419249921,Begona,8,36,8,amenity_school
2024-03-25,0,W412907935,Otxarkoaga-Txurdinaga,8,8,10,amenity_school
2024-03-25,0,W476184022,Uribarri,7,74,13,amenity_school
2024-03-25,0,W183189348,Uribarri,7,24,14,amenity_school
2024-03-25,0,W331883965,Errekalde,7,22,10,amenity_school
2024-03-25,0,W41880844,Deusto,7,16,12,amenity_place_of_worship
2024-03-25,0,W108504682,Abando,6,121,14,building_public
2024-03-25,0,W201679887,Ibaiondo,6,32,17,amenity_school
2024-03-25,0,N10265549875,Otxarkoaga-Txurdinaga,6,24,11,amenity_place_of_worship
2024-03-25,0,N571807591,Abando,6,22,15,railway_subway_entrance
2024-03-25,0,W53661749,Ibaiondo,6,18,18,amenity_place_of_worship
2024-03-25,0,W185282109,Otxarkoaga-Txurdinaga,6,10,12,amenity_school
2024-03-25,0,W301694691,Basurtu-Zorrotza,5,239,14,amenity_community_centre
2024-03-25,0,N10307691910,Ibaiondo,5,54,19,amenity_library
2024-03-25,0,N6983084986,Basurtu-Zorrotza,5,50,15,amenity_community_centre
2024-03-25,0,N4262153026,Deusto,5,33,13,shop_mall
2024-03-25,0,W248634544,Uribarri,5,22,15,building_public
2024-03-25,0,W302863499,Errekalde,5,6,11,amenity_school
2024-03-25,0,W41584747,Abando,4,52,16,building_train_station
2024-03-25,0,W248854824,Uribarri,4,43,16,amenity_school
2024-03-25,0,W620854409,Otxarkoaga-Txurdinaga,4,41,13,amenity_police
2024-03-25,0,N571803299,Deusto,4,25,14,railway_subway_entrance
2024-03-25,0,W264910278,Abando,4,25,17,amenity_place_of_worship
2024-03-25,0,W402170994,Basurtu-Zorrotza,4,21,16,building_train_station
2024-03-25,0,W289130979,Deusto,4,18,15,amenity_school
2024-03-25,0,W185282998,Ibaiondo,4,12,20,amenity_school
2024-03-25,0,N4541079485,Errekalde,4,11,12,railway_subway_entrance
2024-03-25,0,N1048012605,Ibaiondo,4,10,21,amenity_place_of_worship
2024-03-25,0,W41525574,Ibaiondo,3,115,22,amenity_place_of_worship
2024-03-25,0,N4761972760,Abando,3,52,18,amenity_library
2024-03-25,0,W298482555,Otxarkoaga-Txurdinaga,3,46,14,amenity_place_of_worship
2024-03-25,0,W302866212,Otxarkoaga-Txurdinaga,3,40,15,amenity_school
2024-03-25,0,W40111977,Begona,3,33,9,amenity_place_of_worship
2024-03-25,0,N8894270302,Errekalde,3,18,13,amenity_place_of_worship
2024-03-25,0,W40467470,Otxarkoaga-Txurdinaga,3,11,16,amenity_school
2024-03-25,0,W185282143,Deusto,3,5,16,amenity_school
2024-03-25,0,N10585141905,Deusto,3,3,17,amenity_place_of_worship
2024-03-25,0,W185207502,Uribarri,3,3,17,amenity_police
2024-03-25,0,W366043792,Uribarri,3,3,18,amenity_school
2024-03-25,0,N4060532226,Uribarri,2,154,19,railway_subway_entrance
2024-03-25,0,W921796689,Uribarri,2,52,20,amenity_place_of_worship
2024-03-25,0,N600664788,Deusto,2,42,18,amenity_library
2024-03-25,0,W28211432,Abando,2,39,19,tourism_museum
2024-03-25,0,N3248077509,Abando,2,34,20,amenity_school
2024-03-25,0,N2809991335,Abando,2,30,21,amenity_place_of_worship
2024-03-25,0,W185205678,Deusto,2,29,19,amenity_place_of_worship
2024-03-25,0,W53764581,Ibaiondo,2,29,23,amenity_school
2024-03-25,0,W389713153,Errekalde,2,28,14,amenity_school
2024-03-25,0,W178937537,Begona,2,24,10,amenity_school
